,x,sp_corr,sp_code,Remarks
1,aagiya tendu,Diospyos undulata,DIOUND,
2,acansp,,,Acanthus?
3,acasp,,,Acanthus?
4,acratl,,,
5,actexc,,,
6,adepav,Adenanthera pavonina,ADEPAV,
7,agara sp,,,
8,aglaia large,Aglaia sp1,,
9,aglaia small,Aglaia sp2,,
10,aglaia sp red,Aglaia sp3,,
11,agland,Aglaia andamanica,,
12,aglgla,Aglaia glandulosa,,
13,aglsp,Aglaia sp,,
14,Aitsoria kurzii,,,Alstonia?
15,albsp,Albizia sp,,
16,albsti,Albizia stipulata,,
17,alskur,Alstonia kurzii,,
18,alsodeia,,,
19,amara,,,Dracontomelon dao? Spondias mangifera?
20,ambara,,,Dracontomelon dao? Spondias mangifera?
21,amla,Phyllanthus emblica,,
22,amosp,Amoora sp,,
23,amowal,Amoora wallichii,,
24,Amra,,,Dracontomelon dao? Spondias mangifera?
25,Anacardiaceae,Anacardiaceae,,
26,anaocc,Anacardium occidentale,,
27,anar,,,As in pomegranate?
28,anonnaceae,Anonnaceae,,
29,antsp,,,
30,anttox,,,
31,aphpol,,,
32,artcha,Artocarpus chaplasha,,
33,artchap,Artocarpus chaplasha,,
34,artgom,Artocarpus goemziana,,
35,artlak,Artocarpus lakucha,,
36,artsp,Artocarpus sp,,
37,atamon,,,
38,atlmon,,,
39,bacjav,Baccaurea javanica,,
40,bacsap,Baccaurea sapida,,
41,bacsp,Bacaurea sp.,,
42,badam,Terminalia procera,,
43,bakri pathi,,,
44,bania,,,
45,bannia,,,
46,barnia,,,
47,barsp,,,
48,basbut,,,
49,bassp,,,
50,bercor,,,
51,bhasha tree,,,
52,bigsp,,,
53,bisjav,Bischofia javanica,,
54,blaand,,,
55,black chuglum,,,
56,black diospyros,,,
57,bomins,Bombax insignis,,
58,bomsp,Bombax sp,,
59,boubur,,,
60,bucbar,,,
61,buckri pathi,,,
62,bukri pathi,,,
63,burma phali,,,
64,burmaphali,,,
65,calsp,,,
66,caneup,Canarium euphyllum,,
67,cansp,Canarium sp,,
68,celsp,Celtis sp,,
69,celwig,Celtis wightii,,
70,chae,,,
71,chai,,,
72,chaman,Champereia manillana,,
73,chasp,,,
74,chatian,Alstonia kurzii,,
75,chatiun,Alstonia kurzii,,
76,Chidsandu,Pometia pinnata,,
77,chitkandan,Pometia pinnata,,
78,chitkandu,Pometia pinnata,,
79,Chitkandu,Pometia pinnata,,
80,chittagong,,,
81,Chittagong,,,
82,chooi,Sagereia elliptica,,
83,chooi lakri,Sagereia elliptica,,
84,Chool lakri,Sagereia elliptica,,
85,chota lakooch,,,
86,chuglam black,,,
87,chuglam white,,,
88,chusp,Chukrassia sp,,
89,chutab,Chukrassia tabularis,,
90,cineup,,,Is this Canarium misspelled?
91,cinobt,,,Cinnamomum obtusifolium? Cinnamomum obtusatum?
92,cinsp,Cinnamomum sp,,
93,cinzey,Cinnamomum zeylanicum,,
94,cycvir,,,
95,dammar,,,
96,dermer,,,
97,dhup,,,Which one?
98,diland,Dillenia andamanica,,
99,dilsp,Dillenia sp,,
100,dimorphocalyx,,,
101,diokur,Diospyros kurzii,,
102,dioooc,Diospyros oocarpa,,
103,diopil,Diospyros pilosula,,
104,diopyr,Diospyros pyrrhocarpa,,
105,diosp,Diospyros sp,,
106,diosp black,,,
107,diosp green,,,
108,diospyros large,,,
109,diound,Diospyros undulata,,
110,dipala,Dipterocarpus alatus,,
111,dipcos,,,Dipterocarpus costatus/costulatus?
112,dipgri,Dipterocarpus griffithii,,
113,Dipgri,Dipterocarpus griffithii,,
114,dipinc,Dipterocarpus incanus,,
115,dipsp,Dipterocarpus sp,,
116,Dipsp,Dipterocarpus sp,,
117,Diptercarpus griffithii,Dipterocarpus griffithii,,
118,Dipterocarpus griffithii,Dipterocarpus griffithii,,
119,Dipterocarpus sp.,Dipterocarpus sp,,
120,diptur,Dipterocarpus turbinatus,,
121,disreltithi,,,
122,disretchi,,,
123,draand,,,
124,draang,,,
125,drasp,,,
126,drimycartus recemosus,Drimycarpus recemosus,,
127,drirac,,,
128,drylon,Drypetes ----,,
129,drysp,Drypetes sp,,
130,Duckukalte,,,
131,dumbar,,,
132,dyssp,,,
133,elalat,,,
134,elasp,,,
135,endmal,,,
136,euphorbiaceae,,,
137,evodia,Evodia sp,,
138,evogla,,,Evodia glabra/glabrifolia/glaberrima/glauca
139,ficben,Ficus benghalensis,,
140,ficgla,,,Ficus glandulosa/glabra/glauca
141,ficrum,Ficus rumphii,,
142,ficsp,Ficus sp,,
143,ficsp1,Ficus sp1,,
144,ficsp2,Ficus sp2,,
145,ficus,Ficus,,
146,ftina,,,
147,ganfal,,,
148,gangaw,,,
149,gangoo garjan,,,
150,garand,Garcinia andamanica,,
151,garsp,Garcinia sp,,
152,garxan,Garcinia xanthochymus,,
153,grecal,Grewia calophyllum,,
154,gyrame,Gyrocarpus americanus,,
155,gyrsp,Gyrocarpus sp,,
156,hersp,,,Hernandia sp?
157,hopodo,Hopea odorata,,
158,ii,,,
159,J kaju,Semecarpus prainii,,
160,J keradi,,,
161,j khadi,,,
162,J khadi,,,
163,J newa,,,
164,J nimbu,,,
165,J Piemma,Lagerstroemia hypoleuca,,
166,jaephal,Myristica sp,,
167,Jaiphal,Myristica sp,,
168,jaiphal lal,,,
169,jalbadam,,,
170,jamun,,,
171,JK,,,
172,jungli anola,,,
173,jungli badam,,,
174,jungli badam/maida,,,
175,jungli ganna,,,
176,jungli jamur,,,
177,jungli jarmeies,,,
178,jungli khadi,,,
179,Jungli lakal,,,
180,jungli lakooch,,,
181,jungli lakoocls,,,
182,jungli lakoocs,,,
183,jungli lakucher,,,
184,jungli mohwa,,,
185,jungli neem,,,
186,jungli neowa,,,
187,Jungli neowa,,,
188,jungli nimba,,,
189,jungli saguan,Miliusa tectona,,
190,Kadaphal,Baccaurea sp,,
191,kala jaiphal,,,
192,Kala jaiphal,,,
193,kalajaiphal,,,
194,Kalajaiphal,,,
195,kalajiphal,,,
196,kalaphal,,,
197,Kalaphal,,,
198,kalaphal (small),,,
199,Kalaphal (small),,,
200,Kalapkal (small),,,
201,kaliphal small,,,
202,kalphal (small),,,
203,kata phal,Baccaurea sp,,
204,kataphal,Baccaurea sp,,
205,Kataphal,Baccaurea sp,,
206,kataphal (small),Baccaurea sp,,
207,KB,,,
208,kerkot,Dillenia sp,,
209,khari saguan,,,
210,koko,,,Albizia lebbeck?
211,Korkot,Dillenia sp,,
212,korlac,Korthalsia laciniosa,,
213,kusum,Walsura sp,,
214,kusum khatta,Walsura sp,,
215,laeun,,,
216,laghyp,Lagerstroemia hypoleuca,,
217,lagsp,Lagerstroemia sp,,
218,lakho,,,
219,Lal balli,,,
220,Lal kubri bet,,,
221,lalchini,,,
222,Lalchini,,,
223,latana sp,,,
224,latauk,,,
225,leguminoceae,,,
226,letkok,,,
227,litsp,,,
228,loha balli,,,Diospyros sp?
229,macand,Macaranga andamanica,,
230,macsp,,,Macaranga sp?
231,makchun,Pterospermum acerifolium,,
232,maland,Mallotus andamanicus,,
233,malsp,Mallotus sp,,
234,manand,Mangifera andamanica,,
235,mancam,,,Mangifera camptosperma?
236,Mangifera sp,Mangifera sp,,
237,manilkara,Manilkarasp,,
238,manind,Mangifera indica,,
239,manisp,,,Mangifera? Manilkara?
240,manlit,Manilkara littoralis,,
241,mansp,,,Mangifera? Manilkara?
242,Mansp,,,Mangifera? Manilkara?
243,mansyl,Mangifera sylvatica,,
244,mariam,Grewia calophyllum,,
245,Mariam,Grewia calophyllum,,
246,match panjar,,,
247,melaceae (kusum),Walsura sp,,
248,Melastoma,Melastoma sp,,
249,mesfer,Mesua ferrea,,
250,metenphoenia,,,
251,mimand,Mimusops andamanensis,,
252,mimele,Mimusops elengi,,
253,mimlit,Mimusops littoralis,,
254,mimsp,Mimusops sp,,
255,mitpra,,,Mitragyna parviflora? Is it par?
256,mitrot,Mitragyna rotundifolia,,
257,Mncesceace,,,
258,mohwa,,,
259,myrand,Myristica andamanica,,
260,Myrand,Myristica andamanica,,
261,myrgla,Myristica glandulosa,,
262,myrgll,,,
263,myriry,,,
264,myristica (lal),,,
265,Myristica adamanica,Myristica adamanica,,
266,Myristica sp,Myristica sp,,
267,myrpra,Myristica prainii,,
268,myrsp,Myristica sp,,
269,myrtaceae,,,
270,nabbe,,,
271,no 82,,,
272,odiwod,,,Odina wodier?
273,oroind,Oroxylum indicum,,
274,Paephal,,,
275,pajrhe,Pajanelia rheedi,,
276,pani padauk,,,
277,pansp,,,
278,papita,Pterocymbium tinctorium,,
279,parins,Parishia insignis,,
280,Parins,Parishia insignis,,
281,Parishia insignis,Parishia insignis,,
282,parsp,Parishia sp,,
283,pelsp,,,Peltophorum sp?
284,phaand,,,
285,pisexc,,,
286,pitsp,,,
287,plaand,Planchonia andamanica,,
288,Plaand,Planchonia andamanica,,
289,plalon,Planchonella longipetioleta,,
290,Planchonia andamanica,Planchonia andamanica,,
291,plansp,,,
292,plasp,,,
293,podocarpus,Podocarpus sp.,,
294,polpar,,,
295,pompin,Pometia pinnata,,
296,pomsp,Pometia sp,,
297,pongla,,,Pongamia glabra?
298,ponpin,Pongamia pinnata,,
299,poon,Calophyllum inophyllum,,
300,Poon,Calophyllum inophyllum,,
301,pracona,,,
302,premna,Premna sp,,
303,prumar,,,
304,pteace,Pterospermum acerifolium,,
305,ptedal,Pterocarpus dalbergioides,,
306,ptesp,,,
307,putri,,,
308,pynma,Lagerstroemia hypoleuca,,
309,Red Dhup,,,
310,red thingam,,,
311,rotpul,Rothmannia pulcherrima,,
312,sactec,,,
313,Safed,,,
314,sagell,Sageraea elliptica,,
315,sageria,Sageraea sp,,
316,Sageria,Sageraea sp,,
317,sagsp,Sageraea sp,,
318,Sagsp,Sageraea sp,,
319,saguan,Tectona grandis,,
320,sb,,,
321,SB,,,
322,SB arypetes,,,
323,SB prypetes,,,
324,semkur,Semecarpus kurzii,,
325,sempra,Semecarpus prainii,,
326,semsp,Semecarpus sp,,
327,Semsp,Semecarpus sp,,
328,sidlon,,,
329,sidsp,,,
330,siris,,,
331,spoman,Spondias mangifera,,
332,steala,Sterculia alata,,
333,stecam,Sterculia campanulata,,
334,stecol,,,Sterculia colorata?
335,sterub,Sterculia rubiginosa,,
336,stesp,Sterculia sp,,
337,stevil,Sterculia villosa,,
338,strasp,,,
339,symsp,,,
340,syzsam,,,
341,syzsp,Syzygium sp,,
342,tabcri,Tabernaemontana crispa,,
343,tecgra,Tectona grandis,,
344,tepox,,,
345,terbia,Terminalia bialata,,
346,tercat,Terminalia catappa,,
347,tercol,,,
348,terman,Terminalia manii,,
349,tersp,Terminalia sp,,
350,tetnud,Tetrameles nudiflora,,
351,thepop,Thespesia populnea,,
352,thesp,Thespesia sp,,
353,thingan,,,
354,Thitkandu,Pometia pinnata,,
355,thitmin,Podocarpus sp.,,
356,Thitmin,Podocarpus sp.,,
357,thitpok,Tetrameles nudiflora,,
358,tinkla,,,
359,tipok,Tetrameles nudiflora,,
360,treamb,,,
361,UID,,,
362,UID_001_1,,,
363,UID_001_2,,,
364,UID_001_3,,,
365,UID_002_1,,,
366,UID_006_1,,,
367,UID_012_Moraceae,,,
368,UID_014_1,,,
369,UID_015_1,,,
370,UID_017_1,,,
371,UID_018_1,,,
372,UID_018_2,,,
373,UID_018_5,,,
374,UID_018_6,,,
375,UID_020_1,,,
376,UID_020_2,,,
377,UID_021_2,,,
378,UID_021_KalaGular,,,
379,UID_022_1,,,
380,UID_022_KalaGular,,,
381,UID_024_1,,,
382,UID_027_1,,,
383,UID_035_1,,,
384,UID_035_2,,,
385,UID_035_3,,,
386,UID_035_4,,,
387,UID_035_5,,,
388,UID_035_6,,,
389,UID_036_1,,,
390,UID_036_2,,,
391,UID_037_1,,,
392,UID_037_2,,,
393,UID_038_1,,,
394,UID_038_2,,,
395,UID_038_3,,,
396,UID_038_4,,,
397,UID_039_2,,,
398,UID_039_3,,,
399,UID_039_4,,,
400,UID_039_5,,,
401,UID_040_1,,,
402,UID_041_1,,,
403,UID_041_2,,,
404,UID_042_1,,,
405,UID_042_2,,,
406,UID_042_3,,,
407,UID_043_1,,,
408,UID_043_2,,,
409,UID_044_1,,,
410,UID_045_1,,,
411,UID_046_1,,,
412,UID_046_2,,,
413,UID_047_1,,,
414,UID_047_2,,,
415,UID_047_3,,,
416,UID_048_1,,,
417,UID_048_2,,,
418,UID_049_1,,,
419,UID_051_1,,,
420,UID_052_1,,,
421,UID_053_1,,,
422,UID_053_2,,,
423,UID_054_2,,,
424,UID_054_3,,,
425,UID_055_1,,,
426,UID_055_2,,,
427,UID_055_3,,,
428,UID_060_1,,,
429,UID_060_2,,,
430,UID_062_1,,,
431,UID_062_2,,,
432,UID_062_3,,,
433,UID_063_1,,,
434,UID_064_1,,,
435,UID_064_2,,,
436,UID_064_3,,,
437,UID_064_4,,,
438,UID_065_1,,,
439,UID_066_1,,,
440,UID_067_2,,,
441,UID_069_1,,,
442,UID_071_1,,,
443,UID_072_1,,,
444,UID_073_1,,,
445,UID_074_1,,,
446,UID_075_1,,,
447,UID_075_3,,,
448,UID_075_4,,,
449,UID_075_5,,,
450,UID_076_1,,,
451,UID_076_2,,,
452,UID_076_3,,,
453,UID_077_1,,,
454,UID_077_2,,,
455,UID_077_3,,,
456,UID_078_1,,,
457,UID_078_2,,,
458,UID_078_3,,,
459,UID_079_1,,,
460,UID_079_2,,,
461,UID_079_3,,,
462,UID_080_1,,,
463,UID_080_2,,,
464,UID_080_3,,,
465,UID_080_4,,,
466,UID_080_5,,,
467,UID_080_6,,,
468,UID_081_1,,,
469,UID_082_1,,,
470,UID_082_3,,,
471,UID_083_1,,,
472,UID_083_2,,,
473,UID_083_3,,,
474,UID_083_4,,,
475,UID_084_1,,,
476,UID_084_2,,,
477,UID_084_3,,,
478,UID_084_4,,,
479,UID_085_1,,,
480,UID_086_1,,,
481,UID_086_2,,,
482,UID_086_3,,,
483,UID_086_4,,,
484,UID_087_1,,,
485,UID_087_2,,,
486,UID_088_1,,,
487,UID_089_1,,,
488,UID_089_2,,,
489,UID_091_1,,,
490,UID_091_2,,,
491,UID_091_3,,,
492,UID_091_4,,,
493,UID_093_1,,,
494,UID_093_2,,,
495,UID_093_3,,,
496,UID_093_4,,,
497,UID_094_1,,,
498,UID_094_2,,,
499,UID_095_1,,,
500,UID_095_2,,,
501,UID_095_3,,,
502,UID_095_4,,,
503,UID_096_1,,,
504,UID_096_2,,,
505,UID_096_3,,,
506,UID_096_4,,,
507,UID_096_5,,,
508,UID_097_1,,,
509,UID_097_2,,,
510,UID_098_1,,,
511,UID_099_1,,,
512,UID_099_2,,,
513,UID_099_3,,,
514,UID_1,,,
515,UID_10,,,
516,UID_11,,,
517,UID_12,,,
518,UID_13,,,
519,UID_16,,,
520,UID_48_1,,,
521,UID_49_1,,,
522,UID_5,,,
523,UID_6,,,
524,UID_7,,,
525,UID_8,,,
526,UID_9,,,
527,UID1,,,
528,urticaceae,,,
529,walrob,,,
530,white dhup,,,
531,white thingan,,,
532,xanand,,,
533,xansp,,,
534,Xansp,,,
535,Xanthophyllum,,,
536,ye padauk,,,
537,yemane,,,
538,Yewgi,,,
539,zanand,,,
540,zanbud,,,
541,zanova,,,
542,zchsp,,,
